,precision,recall,f1-score,support
0,0.9198473282442748,0.9877049180327869,0.9525691699604744,244.0
1,0.9722222222222222,0.8333333333333334,0.8974358974358975,126.0
accuracy,0.9351351351351351,0.9351351351351351,0.9351351351351351,0.9351351351351351
macro avg,0.9460347752332485,0.9105191256830601,0.925002533698186,370.0
weighted avg,0.9376831029502786,0.9351351351351351,0.9337940555331861,370.0
