,precision,recall,f1-score,support
0,0.906832298136646,0.9449838187702265,0.9255150554675119,309.0
1,0.8950617283950617,0.8285714285714286,0.8605341246290801,175.0
accuracy,0.9028925619834711,0.9028925619834711,0.9028925619834711,0.9028925619834711
macro avg,0.9009470132658539,0.8867776236708276,0.893024590048296,484.0
weighted avg,0.9025764103168583,0.9028925619834711,0.9020198841932855,484.0
