,precision,recall,f1-score,support
0,0.9636363636363636,0.9636363636363636,0.9636363636363636,55.0
1,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0
accuracy,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233
macro avg,0.9495601173020527,0.9495601173020527,0.9495601173020527,86.0
weighted avg,0.9534883720930233,0.9534883720930233,0.9534883720930233,86.0
