,precision,recall,f1-score,support
0,0.9411764705882353,0.9696969696969697,0.9552238805970149,33.0
1,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.948849104859335,0.9431818181818181,0.9456970466814862,57.0
weighted avg,0.9476376362902141,0.9473684210526315,0.947201283615517,57.0
