,precision,recall,f1-score,support
0,0.9322033898305084,0.9821428571428571,0.9565217391304348,280.0
1,0.9621212121212122,0.8639455782312925,0.910394265232975,147.0
accuracy,0.9414519906323185,0.9414519906323185,0.9414519906323185,0.9414519906323185
macro avg,0.9471623009758603,0.9230442176870748,0.9334580021817049,427.0
weighted avg,0.9425029679961605,0.9414519906323185,0.9406417891001618,427.0
