,precision,recall,f1-score,support
0,0.954954954954955,0.9724770642201835,0.9636363636363636,109.0
1,0.95,0.9193548387096774,0.9344262295081968,62.0
accuracy,0.9532163742690059,0.9532163742690059,0.9532163742690059,0.9532163742690059
macro avg,0.9524774774774775,0.9459159514649305,0.9490312965722802,171.0
weighted avg,0.9531584215794742,0.9532163742690059,0.9530455547711804,171.0
