,precision,recall,f1-score,support
0,0.956140350877193,0.9775784753363229,0.9667405764966741,223.0
1,0.956140350877193,0.9159663865546218,0.9356223175965666,119.0
accuracy,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193
macro avg,0.956140350877193,0.9467724309454724,0.9511814470466203,342.0
weighted avg,0.956140350877193,0.956140350877193,0.9559128782244145,342.0
