,precision,recall,f1-score,support
0,0.9166666666666666,1.0,0.9565217391304348,33.0
1,1.0,0.875,0.9333333333333333,24.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.9583333333333333,0.9375,0.9449275362318841,57.0
weighted avg,0.9517543859649122,0.9473684210526315,0.9467581998474447,57.0
