,precision,recall,f1-score,support
0,0.9642857142857143,0.9908256880733946,0.9773755656108597,109.0
1,0.9830508474576272,0.9354838709677419,0.9586776859504132,62.0
accuracy,0.9707602339181286,0.9707602339181286,0.9707602339181286,0.9707602339181286
macro avg,0.9736682808716708,0.9631547795205682,0.9680266257806365,171.0
weighted avg,0.9710894467807939,0.9707602339181286,0.9705962174298791,171.0
