,precision,recall,f1-score,support
0,0.9328859060402684,0.9455782312925171,0.9391891891891891,147.0
1,0.8987341772151899,0.8765432098765432,0.8875,81.0
accuracy,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9210526315789473
macro avg,0.9158100416277292,0.9110607205845301,0.9133445945945946,228.0
weighted avg,0.9207530550103064,0.9210526315789473,0.9208259246088194,228.0
