,precision,recall,f1-score,support
0,0.9772727272727273,0.8801169590643275,0.9261538461538461,342.0
1,0.8240343347639485,0.964824120603015,0.8888888888888888,199.0
accuracy,0.911275415896488,0.911275415896488,0.911275415896488,0.911275415896488
macro avg,0.9006535310183379,0.9224705398336712,0.9075213675213675,541.0
weighted avg,0.9209059248526775,0.911275415896488,0.9124464034630393,541.0
