,precision,recall,f1-score,support
0,0.92,0.9452054794520548,0.9324324324324325,73.0
1,0.8974358974358975,0.8536585365853658,0.875,41.0
accuracy,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9122807017543859
macro avg,0.9087179487179488,0.8994320080187104,0.9037162162162162,114.0
weighted avg,0.9118848403058929,0.9122807017543859,0.9117769084874348,114.0
