,precision,recall,f1-score,support
0,0.9290322580645162,0.9320388349514563,0.9305331179321487,309.0
1,0.8793103448275862,0.8742857142857143,0.8767908309455588,175.0
accuracy,0.9111570247933884,0.9111570247933884,0.9111570247933884,0.9111570247933884
macro avg,0.9041713014460512,0.9031622746185853,0.9036619744388537,484.0
weighted avg,0.9110542935676923,0.9111570247933884,0.9111015059018733,484.0
