,precision,recall,f1-score,support
0,0.8912386706948641,0.9546925566343042,0.921875,309.0
1,0.9084967320261438,0.7942857142857143,0.8475609756097561,175.0
accuracy,0.8966942148760331,0.8966942148760331,0.8966942148760331,0.8966942148760331
macro avg,0.8998677013605039,0.8744891354600093,0.8847179878048781,484.0
weighted avg,0.897478672209273,0.8966942148760331,0.8950052597762548,484.0
