,precision,recall,f1-score,support
0,0.9357798165137615,0.9357798165137615,0.9357798165137615,109.0
1,0.8870967741935484,0.8870967741935484,0.8870967741935484,62.0
accuracy,0.9181286549707602,0.9181286549707602,0.9181286549707602,0.9181286549707602
macro avg,0.911438295353655,0.911438295353655,0.911438295353655,171.0
weighted avg,0.9181286549707602,0.9181286549707602,0.9181286549707602,171.0
